 MAVIR MKp - Adatok letõltése;
;
Létrehozás dátuma: 2019.06.04.;
Létrehozás idõpontja: 8:52;
Adatok letõltése az alábbi helyrõl:;EONEROMU;
;
Mérési pont ID + Mutatószám(ok);
1: HU000120B11-U-NAPE-SZIGVA-0400-32 // Szigetvár naperõmû kiadott (100 kW Gamma Kft.) // Szigetvár naperõmû kiadott (100 kW Gamma Kft.) (DPID: 16691) // 2.29.99.128  TG15 A-;

Egyedi értékek;
Mérési idõszak (perc);15;;;;
Mennyiségi egység;kW;;;;
Dátum / idõ;1. Adatsor;Állapot;Hihetoség;
2018.07.04. 12:00;169,422;W;E (1);
2018.07.04. 12:15;179,999;W;E (1);
2018.07.04. 12:30;201,252;W;E (1);
2018.07.04. 12:45;155,454;W;E (1);
2018.07.04. 13:00;95,387;W;E (1);
2018.07.04. 13:15;77,727;W;E (1);
2018.07.04. 13:30;64,556;W;E (1);
2018.07.04. 13:45;40,709;W;E (1);
2018.07.04. 14:00;30,432;W;E (1);
2018.07.04. 14:15;22,450;W;E (1);
2018.07.04. 14:30;21,153;W;E (1);
2018.07.04. 14:45;34,323;W;E (1);
2018.07.04. 15:00;49,889;W;E (1);
2018.07.04. 15:15;75,132;W;E (1);
2018.07.04. 15:30;89,101;W;E (1);
2018.07.04. 15:45;109,157;W;E (1);
2018.07.04. 16:00;129,511;W;E (1);
2018.07.04. 16:15;128,713;W;E (1);
2018.07.04. 16:30;102,970;W;E (1);
2018.07.04. 16:45;115,443;W;E (1);
2018.07.04. 17:00;121,529;W;E (1);
2018.07.04. 17:15;152,560;W;E (1);
2018.07.04. 17:30;135,897;W;E (1);
2018.07.04. 17:45;153,458;W;E (1);
2018.07.04. 18:00;179,400;W;E (1);
2018.07.04. 18:15;137,893;W;E (1);
2018.07.04. 18:30;105,565;W;E (1);
2018.07.04. 18:45;71,740;W;E (1);
2018.07.04. 19:00;48,691;W;E (1);
2018.07.04. 19:15;30,532;W;E (1);
2018.07.04. 19:30;19,257;W;E (1);
2018.07.04. 19:45;14,268;W;E (1);
2018.07.04. 20:00;10,876;W;E (1);
2018.07.04. 20:15;7,383;W;E (1);
2018.07.04. 20:30;3,592;W;E (1);
2018.07.04. 20:45;0,598;W;E (1);
2018.07.04. 21:00;0,000;W;E (1);
2018.07.04. 21:15;0,000;m;E (1);
2018.07.04. 21:30;0,000;W;E (1);
2018.07.04. 21:45;0,000;W;E (1);
2018.07.04. 22:00;0,000;W;E (1);
2018.07.04. 22:15;0,000;W;E (1);
2018.07.04. 22:30;0,000;W;E (1);
2018.07.04. 22:45;0,000;W;E (1);
2018.07.04. 23:00;0,000;W;E (1);
2018.07.04. 23:15;0,000;W;E (1);
2018.07.04. 23:30;0,000;W;E (1);
2018.07.04. 23:45;0,000;W;E (1);
2018.07.05. 0:00;0,000;W;E (1);
2018.07.05. 0:15;0,000;W;E (1);
2018.07.05. 0:30;0,000;W;E (1);
2018.07.05. 0:45;0,000;W;E (1);
2018.07.05. 1:00;0,000;W;E (1);
2018.07.05. 1:15;0,000;W;E (1);
2018.07.05. 1:30;0,000;W;E (1);
2018.07.05. 1:45;0,000;W;E (1);
2018.07.05. 2:00;0,000;W;E (1);
2018.07.05. 2:15;0,000;W;E (1);
2018.07.05. 2:30;0,000;W;E (1);
2018.07.05. 2:45;0,000;W;E (1);
2018.07.05. 3:00;0,000;W;E (1);
2018.07.05. 3:15;0,000;W;E (1);
2018.07.05. 3:30;0,000;W;E (1);
2018.07.05. 3:45;0,000;W;E (1);
2018.07.05. 4:00;0,000;W;E (1);
2018.07.05. 4:15;0,000;W;E (1);
2018.07.05. 4:30;0,000;W;E (1);
2018.07.05. 4:45;0,000;W;E (1);
2018.07.05. 5:00;0,000;W;E (1);
2018.07.05. 5:15;0,598;W;E (1);
2018.07.05. 5:30;4,190;W;E (1);
2018.07.05. 5:45;9,080;W;E (1);
2018.07.05. 6:00;14,567;W;E (1);
2018.07.05. 6:15;18,558;W;E (1);
2018.07.05. 6:30;26,241;W;E (1);
2018.07.05. 6:45;40,609;W;E (1);
2018.07.05. 7:00;57,871;W;E (1);
2018.07.05. 7:15;79,323;W;E (1);
2018.07.05. 7:30;103,669;W;E (1);
2018.07.05. 7:45;128,613;W;E (1);
2018.07.05. 8:00;158,547;W;E (1);
2018.07.05. 8:15;186,584;W;E (1);
2018.07.05. 8:30;212,526;W;E (1);
2018.07.05. 8:45;237,870;W;E (1);
2018.07.05. 9:00;262,715;W;E (1);
2018.07.05. 9:15;286,063;W;E (1);
2018.07.05. 9:30;308,114;W;E (1);
2018.07.05. 9:45;329,865;W;E (1);
2018.07.05. 10:00;350,020;W;E (1);
2018.07.05. 10:15;367,482;W;E (1);
2018.07.05. 10:30;373,668;W;E (1);
2018.07.05. 10:45;372,770;W;E (1);
2018.07.05. 11:00;400,708;W;E (1);
2018.07.05. 11:15;414,477;W;E (1);
2018.07.05. 11:30;420,862;W;E (1);
2018.07.05. 11:45;429,344;W;E (1);
2018.07.05. 12:00;438,324;W;E (1);
2018.07.05. 12:15;441,018;W;E (1);
2018.07.05. 12:30;451,894;W;E (1);
2018.07.05. 12:45;452,792;W;E (1);
2018.07.05. 13:00;453,490;W;E (1);
2018.07.05. 13:15;450,996;W;E (1);
2018.07.05. 13:30;444,610;W;E (1);
2018.07.05. 13:45;439,521;W;E (1);
2018.07.05. 14:00;435,829;W;E (1);
2018.07.05. 14:15;430,541;W;E (1);
2018.07.05. 14:30;415,574;W;E (1);
2018.07.05. 14:45;410,186;W;E (1);
2018.07.05. 15:00;398,612;W;E (1);
2018.07.05. 15:15;389,532;W;E (1);
2018.07.05. 15:30;373,768;W;E (1);
2018.07.05. 15:45;354,311;W;E (1);
2018.07.05. 16:00;336,850;W;E (1);
2018.07.05. 16:15;315,198;W;E (1);
2018.07.05. 16:30;294,444;W;E (1);
2018.07.05. 16:45;273,690;W;E (1);
2018.07.05. 17:00;239,866;W;E (1);
2018.07.05. 17:15;228,192;W;E (1);
