"datetime";"termeles_kW";"cloudCover";"temperature";"humidity";"eromu";"icon";"precipProbability";"precipIntensity";"dewPoint";"apparentTemperature";"Rad";"ForecastOrNot";"GHI";"TOA"
2018-12-17 19:30:00;0;1;-5,085;0,85;"szigetvar_gamma";"cloudy";0;0;-7,235;-7,6;0;0;0;0
2018-12-17 19:45:00;0;1;-5,1175;0,85;"szigetvar_gamma";"cloudy";0;0;-7,2475;-7,75;0;0;0;0
2018-12-17 20:00:00;0;1;-5,15;0,85;"szigetvar_gamma";"cloudy";0;0;-7,26;-7,9;0;0;0;0
2018-12-17 20:15:00;0;1;-5,17;0,8525;"szigetvar_gamma";"cloudy";0;0;-7,2425;-7,9925;0;0;0;0
2018-12-17 20:30:00;0;1;-5,19;0,855;"szigetvar_gamma";"cloudy";0;0;-7,225;-8,085;0;0;0;0
2018-12-17 20:45:00;0;1;-5,21;0,8575;"szigetvar_gamma";"cloudy";0;0;-7,2075;-8,1775;0;0;0;0
2018-12-17 21:00:00;0;1;-5,23;0,86;"szigetvar_gamma";"cloudy";0;0;-7,19;-8,27;0;0;0;0
2018-12-17 21:15:00;0;1;-5,2425;0,865;"szigetvar_gamma";"cloudy";0;0;-7,1425;-8,3575;0;0;0;0
2018-12-17 21:30:00;0;1;-5,255;0,87;"szigetvar_gamma";"cloudy";0;0;-7,095;-8,445;0;0;0;0
2018-12-17 21:45:00;0;1;-5,2675;0,875;"szigetvar_gamma";"cloudy";0;0;-7,0475;-8,5325;0;0;0;0
2018-12-17 22:00:00;0;1;-5,28;0,88;"szigetvar_gamma";"cloudy";0;0;-7;-8,62;0;0;0;0
2018-12-17 22:15:00;0;1;-4,8075;0,8775;"szigetvar_gamma";"cloudy";0;0;-6,5525;-8,21;0;0;0;0
2018-12-17 22:30:00;0;1;-4,335;0,875;"szigetvar_gamma";"cloudy";0;0;-6,105;-7,8;0;0;0;0
2018-12-17 22:45:00;0;1;-3,8625;0,8725;"szigetvar_gamma";"cloudy";0;0;-5,6575;-7,39;0;0;0;0
2018-12-17 23:00:00;0;1;-3,39;0,87;"szigetvar_gamma";"cloudy";0;0;-5,21;-6,98;0;0;0;0
2018-12-17 23:15:00;0;1;-3,6025;0,875;"szigetvar_gamma";"cloudy";0;0;-5,3625;-7,055;0;0;0;0
2018-12-17 23:30:00;0;1;-3,815;0,88;"szigetvar_gamma";"cloudy";0;0;-5,515;-7,13;0;0;0;0
2018-12-17 23:45:00;0;1;-4,0275;0,885;"szigetvar_gamma";"cloudy";0;0;-5,6675;-7,205;0;0;0;0
2018-12-18 00:00:00;0;1;-4,24;0,89;"szigetvar_gamma";"cloudy";0;0;-5,82;-7,28;0;0;0;0
2018-12-18 00:15:00;0;1;-4,4625;0,8925;"szigetvar_gamma";"cloudy";0;0;-6,0025;-7,3825;0;0;0;0
2018-12-18 00:30:00;0;1;-4,685;0,895;"szigetvar_gamma";"cloudy";0;0;-6,185;-7,485;0;0;0;0
2018-12-18 00:45:00;0;1;-4,9075;0,8975;"szigetvar_gamma";"cloudy";0;0;-6,3675;-7,5875;0;0;0;0
2018-12-18 01:00:00;0;1;-5,13;0,9;"szigetvar_gamma";"cloudy";0;0;-6,55;-7,69;0;0;0;0
2018-12-18 01:15:00;0;1;-5,3075;0,9025;"szigetvar_gamma";"cloudy";0;0;-6,6975;-7,2275;0;0;0;0
2018-12-18 01:30:00;0;1;-5,485;0,905;"szigetvar_gamma";"cloudy";0;0;-6,845;-6,765;0;0;0;0
2018-12-18 01:45:00;0;1;-5,6625;0,9075;"szigetvar_gamma";"cloudy";0;0;-6,9925;-6,3025;0;0;0;0
2018-12-18 02:00:00;0;1;-5,84;0,91;"szigetvar_gamma";"cloudy";0;0;-7,14;-5,84;0;0;0;0
2018-12-18 02:15:00;0;1;-5,9125;0,91;"szigetvar_gamma";"cloudy";0;0;-7,2075;-5,9125;0;0;0;0
2018-12-18 02:30:00;0;1;-5,985;0,91;"szigetvar_gamma";"cloudy";0;0;-7,275;-5,985;0;0;0;0
2018-12-18 02:45:00;0;1;-6,0575;0,91;"szigetvar_gamma";"cloudy";0;0;-7,3425;-6,0575;0;0;0;0
2018-12-18 03:00:00;0;1;-6,13;0,91;"szigetvar_gamma";"cloudy";0;0;-7,41;-6,13;0;0;0;0
2018-12-18 03:15:00;0;1;-6,145;0,9075;"szigetvar_gamma";"cloudy";0;0;-7,4375;-6,7375;0;0;0;0
2018-12-18 03:30:00;0;1;-6,16;0,905;"szigetvar_gamma";"cloudy";0;0;-7,465;-7,345;0;0;0;0
2018-12-18 03:45:00;0;1;-6,175;0,9025;"szigetvar_gamma";"cloudy";0;0;-7,4925;-7,9525;0;0;0;0
2018-12-18 04:00:00;0;1;-6,19;0,9;"szigetvar_gamma";"cloudy";0;0;-7,52;-8,56;0;0;0;0
2018-12-18 04:15:00;0;1;-5,8325;0,885;"szigetvar_gamma";"fog";0;0;-7,3875;-7,61;0;0;0;0
2018-12-18 04:30:00;0;1;-5,475;0,87;"szigetvar_gamma";"fog";0;0;-7,255;-6,66;0;0;0;0
2018-12-18 04:45:00;0;1;-5,1175;0,855;"szigetvar_gamma";"fog";0;0;-7,1225;-5,71;0;0;0;0
2018-12-18 05:00:00;0;1;-4,76;0,84;"szigetvar_gamma";"fog";0;0;-6,99;-4,76;0;0;0;0
2018-12-18 05:15:00;0;0,9975;-5,01;0,84;"szigetvar_gamma";"fog";0,0025;0,001275;-7,24;-6,2025;0;0;0;0
2018-12-18 05:30:00;0;0,995;-5,26;0,84;"szigetvar_gamma";"fog";0,005;0,00255;-7,49;-7,645;0;0;0;0
2018-12-18 05:45:00;0;0,9925;-5,51;0,84;"szigetvar_gamma";"fog";0,0075;0,003825;-7,74;-9,0875;0;0;0;0
2018-12-18 06:00:00;0;0,99;-5,76;0,84;"szigetvar_gamma";"fog";0,01;0,0051;-7,99;-10,53;0;0;0;0
2018-12-18 06:15:00;0;0,985;-5,0075;0,8425;"szigetvar_gamma";"cloudy";0,01;0,005725;-7,2375;-8,585;0;0;0;0
2018-12-18 06:30:00;0;0,98;-4,255;0,845;"szigetvar_gamma";"cloudy";0,01;0,00635;-6,485;-6,64;0;0;0;0
2018-12-18 06:45:00;0;0,975;-3,5025;0,8475;"szigetvar_gamma";"cloudy";0,01;0,006975;-5,7325;-4,695;0;0;0;0
2018-12-18 07:00:00;0;0,97;-2,75;0,85;"szigetvar_gamma";"cloudy";0,01;0,0076;-4,98;-2,75;0;0;0;0
